code,Country,Deaths,GDP PPP per capita,Life expectancy,Continent,Urbanization rate,Ladder score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
ITA,Italy,4.759584776,41582,83.6,Europe,71,6.483,0.88,73.8,0.693,-0.084,0.866
JAM,Jamaica,3.606515878,9932,74.4,Americas,56.3,6.309,0.877,67.5,0.89,-0.137,0.884
JPN,Japan,15.64795107,46827,84.5,Asia,91.8,5.94,0.884,75.1,0.796,-0.258,0.638
JOR,Jordan,3.218820217,9939,74.4,Asia,91.4,4.395,0.767,67,0.755,-0.167,0.705
KAZ,Kazakhstan,22.98552802,30178,73.2,Asia,57.7,6.152,0.952,65.2,0.853,-0.069,0.733
KEN,Kenya,11.05758978,4078,63.3,Africa,28,4.607,0.688,60.704,0.779,0.287,0.825
KGZ,Kyrgyzstan,10.01537959,4193,71.3,Asia,36.9,5.744,0.893,64.401,0.935,0.119,0.908
LAO,Laos,8.420251403,8684,67.6,Asia,36.3,5.03,0.728,58.968,0.91,0.123,0.658
LVA,Latvia,16.98867374,32987,75.2,Europe,68.3,6.032,0.927,67.1,0.715,-0.162,0.8
LBN,Lebanon,4.778861022,15599,78.9,Asia,88.9,4.584,0.848,67.355,0.525,-0.073,0.898
LSO,Lesotho,31.71521752,3655,53.7,Africa,29,3.512,0.787,48.7,0.715,-0.131,0.915
LBR,Liberia,13.21205337,1428,63.7,Africa,52.1,4.625,0.72,56.498,0.735,0.05,0.85
LBY,Libya,8.072802093,9446,72.7,Africa,80.7,5.41,0.827,62.3,0.771,-0.087,0.667
LTU,Lithuania,27.99058442,38751,75.7,Europe,68,6.255,0.935,67.906,0.773,-0.203,0.826
LUX,Luxembourg,8.704992604,112045,82.1,Europe,91.5,7.324,0.908,72.6,0.907,-0.034,0.386
MDG,Madagascar,10.98562128,1776,66.7,Africa,38.5,4.208,0.686,59.305,0.552,-0.005,0.803
MWI,Malawi,12.11902436,1292,63.8,Africa,17.4,3.6,0.537,57.948,0.78,0.038,0.729
MYS,Malaysia,7.845130367,34567,76.1,Asia,77.2,5.384,0.817,67.102,0.895,0.125,0.839
MLI,Mali,6.811872286,2569,58.9,Africa,43.9,4.723,0.724,51.969,0.697,-0.036,0.827
MLT,Malta,4.52703218,49589,82.4,Europe,94.7,6.602,0.931,72.2,0.927,0.133,0.653
MRT,Mauritania,6.635567299,5158,64.7,Africa,55.3,4.227,0.795,57.161,0.561,-0.106,0.731
MUS,Mauritius,8.310517248,26461,74.9,Africa,40.8,6.049,0.905,66.701,0.867,-0.054,0.789
MEX,Mexico,5.922387652,21363,75,Americas,80.7,6.317,0.831,68.597,0.862,-0.147,0.799
MDA,Moldova,13.63674914,8161,71.8,Europe,42.8,5.766,0.857,65.699,0.822,-0.079,0.918
MNG,Mongolia,15.35814334,15089,69.7,Asia,68.7,5.677,0.935,62.5,0.708,0.116,0.856
MNE,Montenegro,9.382655422,21977,76.8,Europe,67.5,5.581,0.858,68.699,0.708,-0.034,0.812
MAR,Morocco,7.14697167,9667,76.5,Africa,63.5,4.918,0.56,66.208,0.774,-0.236,0.801
MOZ,Mozambique,17.20414341,1372,60.2,Africa,37.1,4.794,0.744,54.706,0.882,0.061,0.684
MMR,Myanmar,5.042599564,7220,66.9,Asia,31.1,4.426,0.779,59.302,0.876,0.509,0.66
NAM,Namibia,11.81252592,11451,63.4,Africa,52,4.574,0.818,56.799,0.719,-0.149,0.847
NPL,Nepal,8.370004911,3550,70.5,Asia,20.6,5.269,0.774,64.233,0.782,0.152,0.727
